City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,Norman Wells,65.28,-126.83,53.6,93,90,3.36,CA,2020-06-23 07:34:32
283,Sinnamary,5.38,-52.95,76.8,87,83,4.12,GF,2020-06-23 07:37:39
284,Kalabo,-14.97,22.68,66.67,36,0,6.46,ZM,2020-06-23 07:37:39
285,Vostok,46.49,135.88,58.77,99,100,2.71,RU,2020-06-23 07:35:56
286,Hayrabolu,41.21,27.11,75.2,69,75,6.93,TR,2020-06-23 07:37:39
287,Broken Hill,-31.95,141.43,59.0,51,1,13.87,AU,2020-06-23 07:36:01
288,Buchanan,5.88,-10.05,77.0,94,75,3.78,LR,2020-06-23 07:37:39
289,Neiafu,-18.65,-173.98,78.8,94,75,10.04,TO,2020-06-23 07:37:40
290,Rio Gallegos,-51.62,-69.22,39.2,100,40,5.82,AR,2020-06-23 07:34:52
291,Nanakuli,21.39,-158.15,78.01,69,1,4.7,US,2020-06-23 07:37:40
292,Kahului,20.89,-156.47,77.0,65,40,9.17,US,2020-06-23 07:34:13
293,Chardara,41.25,67.97,94.68,15,28,10.47,KZ,2020-06-23 07:37:40
294,Soe,-9.86,124.28,70.18,73,13,8.75,ID,2020-06-23 07:37:41
295,Kwinana,-32.25,115.77,69.01,63,66,21.92,AU,2020-06-23 07:37:41
296,Mount Gambier,-37.83,140.77,53.6,93,90,9.17,AU,2020-06-23 07:35:11
297,Komsomolskiy,40.43,71.72,93.2,17,22,13.87,UZ,2020-06-23 07:37:41
298,Athabasca,54.72,-113.29,58.57,86,70,3.38,CA,2020-06-23 07:37:41
299,Mackay,-21.15,149.2,66.2,59,0,8.05,AU,2020-06-23 07:34:25
300,Korla,41.76,86.15,93.65,10,16,2.86,CN,2020-06-23 07:35:45
301,Souillac,-20.52,57.52,77.0,61,40,11.41,MU,2020-06-23 07:34:48
302,Bontang,0.13,117.5,84.63,66,27,5.03,ID,2020-06-23 07:37:42
303,Uryupinsk,50.8,42.01,72.0,43,100,10.0,RU,2020-06-23 07:37:42
